item,AED,ARS,AUD,BRL,CAD,CHF,CLP,CNY,COP,CRC,EUR,GBP,HKD,IDR,ILS,INR,JPY,KRW,KWD,KZT,MXN,MYR,NOK,NZD,PEN,PHP,PLN,QAR,RUB,SAR,SGD,THB,TRY,TWD,UAH,USD,UYU,VND,ZAR
Name Tag,750,30699,305,999,269,190,190000,1400,975000,127000,199,169,1560,3039900,700,15800,28500,275000,60,97000,4000,920,2150,349,760,11200,980,729,12400,750,285,7500,3625,6100,7300,199,8100,4950000,3675
Sticker Crate Key,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
Weapon Case Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
casket,750,30699,305,999,269,190,190000,1400,975000,127000,199,169,1560,3039900,700,15800,28500,275000,60,97000,4000,920,2150,349,760,11200,980,729,12400,750,285,7500,3625,6100,7300,199,8100,4950000,3675
community_11 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_12 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_13 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_15 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_16 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_17 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_18 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_19 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_20 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_21 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_22 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_23 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_24 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_25 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_26 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_27 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_28 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_29 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_30 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
community_31 Key,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
coupon - amontobin_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - amontobin_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - austinwintory_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - austinwintory_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - awolnation_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - awolnation_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - awp_country,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - baackstabber,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - bbnos_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - bbnos_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - beartooth_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - beartooth_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - bestiary_sticker_capsule,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - bf2042_sticker_capsule,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - blitzkrieg,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - blood_broiler,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - bombsquad_foil,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - bossyburger,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - catcall,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - chi_bomb,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - chicken_sticker_capsule,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - chickenstrike,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - comm2018_01_sticker_capsule,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - community2021_sticker_capsule,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - crate_patch_pack01,650,26999,270,899,239,165,167000,1200,860000,112000,179,149,1380,2699900,620,13900,25000,240000,53,85000,3600,810,1900,305,670,9800,865,639,10900,660,250,6600,3195,5500,6400,175,7100,4350000,3225
coupon - crate_patch_pack_hlalyx,650,26999,270,899,239,165,167000,1200,860000,112000,179,149,1380,2699900,620,13900,25000,240000,53,85000,3600,810,1900,305,670,9800,865,639,10900,660,250,6600,3195,5500,6400,175,7100,4350000,3225
coupon - crate_sprays_community_1,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - crate_sprays_vcap1,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - crate_xray_p250,925,38499,385,1269,339,235,238000,1700,1230000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,15500,935,360,9500,4550,7700,9100,249,10100,6200000,4595
coupon - cs20_sticker_capsule,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - cs_on_the_mind,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - csgo10_sticker_capsule,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - ctbanana,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - damjanmravunac_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - damjanmravunac_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - danielsadowski_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - danielsadowski_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - danielsadowski_02,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - danielsadowski_02_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - danielsadowski_03,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - danielsadowski_03_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - darude_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - darude_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - delicious_tears,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - dinked,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - dontworryimpro,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - doomed,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - dren_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - dren_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - drugwarveteran,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - eco_rush,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - enfu_sticker_capsule,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - feedme_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - feedme_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - feral_predators_sticker_capsule,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - fightlikeagirl,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - firestarter_holo,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - flickshot,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - fox,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - halo_sticker_capsule,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - hamster_hawk,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - handmadeflash,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - headless_chicken,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - headshot_guarantee,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - hlalyx_sticker_capsule,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - hohoho,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - hostage_rescue,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - hotlinemiami_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - hotlinemiami_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - ianhultquist_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - ianhultquist_01_stattrak,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - illuminate_capsule_01,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - illuminate_capsule_02,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - illuminate_sprays_capsule_01,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - initiators_musickit_capsule,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
coupon - initiators_stattrak_musickit_capsule,2900,123999,1225,4099,1099,760,760000,5500,3900000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,49500,2995,1150,30500,14595,24600,29500,799,32500,20000000,14695
coupon - just_trolling,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - kawaiikiller,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - kawaiikiller_t,375,15299,155,499,135,95,94000,700,485000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,6200,375,140,3800,1795,3100,3600,99,4000,2450000,1825
coupon - kellybailey_01,1900,77499,765,2549,679,475,475000,3500,2450000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,31000,1895,715,18900,9095,15300,18300,499,20300,12500000,9195
